Amount,Category,Description,Y,M,D,Type
-97.0,Casa,Description,2024,12,31,0
-98.0,Bollette,Description,2024,12,28,0
-30.0,Altro,Description,2024,12,8,0
-79.0,Mangiare Fuori,Description,2024,12,6,0
-39.0,Auto,Description,2024,12,5,0
-6.0,Auto,Description,2024,11,31,0
-76.0,Bollette,Description,2024,11,30,0
-85.0,Bollette,Description,2024,11,29,0
-63.0,Mangiare Fuori,Description,2024,11,6,0
-62.0,Altro,Description,2024,11,4,0
15.0,Entrate,Description,2024,11,2,1
-28.0,Mangiare Fuori,Description,2024,10,29,0
48.0,Entrate,Description,2024,10,24,1
-76.0,Altro,Description,2024,10,18,0
-94.0,Bollette,Description,2024,10,15,0
-10.0,Auto,Description,2024,10,10,0
-25.0,Spesa,Description,2024,9,20,0
-96.0,Spesa,Description,2024,9,9,0
28.0,Entrate,Description,2024,9,4,1
46.0,Entrate,Description,2024,8,27,1
-78.0,Altro,Description,2024,8,18,0
-99.0,Bollette,Description,2024,8,15,0
-77.0,Altro,Description,2024,8,14,0
-7.0,Altro,Description,2024,8,13,0
-56.0,Bollette,Description,2024,7,29,0
-36.0,Auto,Description,2024,7,27,0
50.0,Entrate,Description,2024,7,25,1
-65.0,Sport,Description,2024,7,23,0
13.0,Entrate,Description,2024,7,22,1
-74.0,Sport,Description,2024,7,21,0
-12.0,Auto,Description,2024,7,18,0
-12.0,Sport,Description,2024,7,15,0
-20.0,Casa,Description,2024,7,6,0
-73.0,Auto,Description,2024,7,1,0
-99.0,Casa,Description,2024,6,31,0
-61.0,Sport,Description,2024,6,28,0
-50.0,Spesa,Description,2024,6,24,0
-1.0,Mangiare Fuori,Description,2024,6,18,0
-13.0,Spesa,Description,2024,5,29,0
-48.0,Auto,Description,2024,5,20,0
-6.0,Sport,Description,2024,5,18,0
-18.0,Mangiare Fuori,Description,2024,5,14,0
-54.0,Spesa,Description,2024,5,10,0
-86.0,Sport,Description,2024,5,6,0
-33.0,Casa,Description,2024,5,5,0
-31.0,Sport,Description,2024,5,3,0
-31.0,Auto,Description,2024,4,24,0
-97.0,Auto,Description,2024,4,20,0
-37.0,Altro,Description,2024,4,18,0
-9.0,Mangiare Fuori,Description,2024,4,15,0
-24.0,Mangiare Fuori,Description,2024,4,15,0
90.0,Entrate,Description,2024,4,10,1
-33.0,Spesa,Description,2024,3,31,0
51.0,Entrate,Description,2024,3,24,1
-98.0,Mangiare Fuori,Description,2024,3,14,0
-31.0,Mangiare Fuori,Description,2024,3,13,0
-8.0,Bollette,Description,2024,3,10,0
-27.0,Sport,Description,2024,3,6,0
-25.0,Spesa,Description,2024,3,1,0
-81.0,Altro,Description,2024,2,26,0
-58.0,Casa,Description,2024,2,23,0
55.0,Entrate,Description,2024,2,16,1
22.0,Entrate,Description,2024,2,12,1
-25.0,Auto,Description,2024,2,9,0
93.0,Entrate,Description,2024,1,15,1
-50.0,Bollette,Description,2024,1,15,0
-53.0,Sport,Description,2024,1,14,0
-95.0,Mangiare Fuori,Description,2024,1,13,0
-34.0,Spesa,Description,2024,1,10,0
-80.0,Sport,Description,2024,1,4,0
-88.0,Bollette,Description,2024,1,3,0
-23.0,Spesa,Description,2023,11,14,0
-70.0,Casa,Description,2023,11,5,0
-73.0,Bollette,Description,2023,10,5,0
-41.0,Spesa,Description,2023,9,27,0
-41.0,Auto,Description,2023,9,5,0
-69.0,Mangiare Fuori,Description,2023,8,12,0
-79.0,Bollette,Description,2023,8,11,0
-26.0,Spesa,Description,2023,5,4,0
-80.0,Auto,Description,2023,4,18,0
-47.0,Casa,Description,2023,2,31,0
-88.0,Spesa,Description,2022,12,6,0
-22.0,Mangiare Fuori,Description,2022,11,17,0
-90.0,Casa,Description,2022,11,16,0
-69.0,Spesa,Description,2022,10,22,0
-81.0,Bollette,Description,2022,9,20,0
-56.0,Altro,Description,2022,8,29,0
-8.0,Altro,Description,2022,7,24,0
-46.0,Sport,Description,2022,7,22,0
-21.0,Spesa,Description,2022,7,9,0
-72.0,Mangiare Fuori,Description,2022,7,9,0
-21.0,Sport,Description,2021,8,3,0
-30.0,Casa,Description,2021,7,4,0
-2.0,Auto,Description,2021,6,28,0
-44.0,Altro,Description,2021,6,20,0
-3.0,Bollette,Description,2021,6,12,0
-53.0,Mangiare Fuori,Description,2021,5,29,0
-49.0,Spesa,Description,2021,4,23,0
45.0,Entrate,Description,2021,3,25,1
-61.0,Mangiare Fuori,Description,2021,3,14,0
-132.0,Spesa,prova,2024,6,11,0
